QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2015-01-01T00:00:00,2015-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2017-01-01T00:00:00,2017-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1741,388,Norge,Nordland,182020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1746,388,Norge,Vestland,462020,1.4,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1739,388,Norge,Rogaland,112020,1.2,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1745,388,Norge,Agder,422020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1744,388,Norge,Vestfold og Telemark,382020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1743,388,Norge,Innlandet,342020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1738,388,Norge,"Oslo, fylke",32020,1.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1742,388,Norge,Viken,302020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,388,0,,Norge,9999,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1740,388,Norge,Møre og Romsdal,152020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1747,388,Norge,Trøndelag,502020,0.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1748,388,Norge,Troms og Finnmark,542020,1.2,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2020-01-01T00:00:00,2020-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1748,388,Norge,Troms og Finnmark,542020,1.1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1741,388,Norge,Nordland,182020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1747,388,Norge,Trøndelag,502020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1742,388,Norge,Viken,302020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2017-01-01T00:00:00,2017-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1743,388,Norge,Innlandet,342020,0.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2015-01-01T00:00:00,2015-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1738,388,Norge,"Oslo, fylke",32020,1.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2015-01-01T00:00:00,2015-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1742,388,Norge,Viken,302020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2015-01-01T00:00:00,2015-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1740,388,Norge,Møre og Romsdal,152020,1.1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1747,388,Norge,Trøndelag,502020,0.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1741,388,Norge,Nordland,182020,0.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1748,388,Norge,Troms og Finnmark,542020,1.2,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1738,388,Norge,"Oslo, fylke",32020,1.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2017-01-01T00:00:00,2017-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1746,388,Norge,Vestland,462020,1.2,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2016-01-01T00:00:00,2016-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1740,388,Norge,Møre og Romsdal,152020,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1746,388,Norge,Vestland,462020,1.5,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2019-01-01T00:00:00,2019-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1744,388,Norge,Vestfold og Telemark,382020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2015-01-01T00:00:00,2015-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1742,388,Norge,Viken,302020,0.9,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1747,388,Norge,Trøndelag,502020,0.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1748,388,Norge,Troms og Finnmark,542020,1.1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1740,388,Norge,Møre og Romsdal,152020,1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1746,388,Norge,Vestland,462020,1.4,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1739,388,Norge,Rogaland,112020,1.1,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1744,388,Norge,Vestfold og Telemark,382020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1743,388,Norge,Innlandet,342020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1738,388,Norge,"Oslo, fylke",32020,1.6,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
Antall tannlegespesialister per 10.000 innbyggere,266,1745,388,Norge,Agder,422020,0.7,Årlig,Antall tannlegespesialistårsverk per 10.000 innbyggere,Desimal,2018-01-01T00:00:00,2018-12-31T00:00:00
